name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Eclipse Apoapsis™ - ORT Server,,https://eclipse-apoapsis.github.io/ort-server/,logos/516ab7577ee8588d566e38791116c4158715c72cf61d48e293b17ee9562b6045.svg,,,,,,,,,The Eclipse Apoapsis project's ORT Server is a standalone application to deploy the OSS Review Toolkit as a service in the cloud.,,,,,,,,,,,,Software Component Verification and Integration Verification,Software Composition Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Capella,,https://mbse-capella.org/,logos/532026324b76716c3429b6530926f4dfdfd613ef4a15653865229f6d18c91586.svg,,,,,,,,,Eclipse Capella is a powerful and extensible MBSE software tool that leverages a field-proven language and method to successfully design the architecture of complex systems.,,,,,,,,,,,,Software Requirements Analysis,Software Modelling / Auto‑code,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Papyrus,,https://eclipse.dev/papyrus/,logos/e97c7d4022783db492c0287a44cedcee05cc41440e1e210287e1345183cc9224.svg,,,,,incubating,,,,Eclipse Papyrus is an industrial-grade open source Model-Based Engineering tool. Eclipse Papyrus has notably been used successfuly in industrial projects and is the base platform for several industrial modeling tools.,,,,,,,,,,,,Software Requirements Analysis,Software Modelling / Auto‑code,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse RMF,,https://eclipse.dev/rmf/,logos/51e425785b175840bb17056d0c94cbe17adb34c685d3d545768ef834303f9daa.svg,,,,,sandbox,,,,"RMF is a framework for working with textual requirements, structured as ReqIF models, the industry standard for exchanging requirements. RMF uses natively ReqIF, the open standard for requirements exchange, allowing you to exchange requirements with many industry applications like Rational DOORS® or PTC integrity®.",,,,,,,,,,,,Software Requirements Analysis,Requirements Traceability,,,,,,,,,,,,,,,,,,,,,,,,
Example Tool,,https://example.com,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,,,,,,,,,Example tool for this category,,,,,,,,,,,,Software Detail Design and Unit Consruction,tools,,,,,,,,,,,,,,,,,,,,,,,,
Example Tool,,https://example.com,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,,,,,,,,,Example tool for this category,,,,,,,,,,,,Software Unit Verification,tools,,,,,,,,,,,,,,,,,,,,,,,,
Example Tool,,https://example.com,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,,,,,,,,,Example tool for this category,,,,,,,,,,,,Software Verification,tools,,,,,,,,,,,,,,,,,,,,,,,,
Item 6,,https://cncf.io,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,https://twitter.com/CloudNativeFdn,,,,graduated,,,,This is the description of item 6,,,,,,,,,,,,Software Architectural Design,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Item 7,,https://cncf.io,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,https://twitter.com/CloudNativeFdn,,,,sandbox,,,,This is the description of item 7,,,,,,,,,,,,Software Architectural Design,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Item 8,,https://cncf.io,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,,,,,,,,,This is the description of item 8,,,,,,,,,,,,Software Architectural Design,Subcategory 2-1,,,,,,,,,,,,,,,,,,,,,,,,
Item 9,,https://cncf.io,logos/78647facb76632b480866fc507a7922a7f959a60b900dc19a23b6f7ce46eab0d.svg,https://twitter.com/CloudNativeFdn,,,,,,,,This is the description of item 9,,,,,,,,,,,,Software Architectural Design,Subcategory 2-2,,,,,,,,,,,,,,,,,,,,,,,,
OpenModellica,,https://openmodelica.org/,logos/ebbf9a71055a7062204e5e24cafc7e3dc068e32014304f5bde72a81f655d5904.svg,,,,,,,,,Introduction OPENMODELICA is an open-source Modelica-based1 modeling and simulation environment intended for industrial and academic usage.,,,,,,,,,,,,Software Requirements Analysis,Software Modelling / Auto‑code,,,,,,,,,,,,,,,,,,,,,,,,
OSS Review Toolkit (ORT),,https://oss-review-toolkit.org/ort/,logos/3483a234630c89d7b244e2f0db9fc05690e16f71c55d6ef0babb780c50105767.svg,,,,,,,,,The OSS Review Toolkit (ORT) is a set of tools that work together to help you manage and analyze your software projects.,,,,,,,,,,,,Software Component Verification and Integration Verification,Software Composition Analysis,,,,,,,,,,,,,,,,,,,,,,,,
sphinx-needs,,https://sphinx-needs.org/,logos/ba28819bc2ce8311fd6fcb43543f406b14b131af4a18239392d4b5fd1dc494ac.svg,,,,,graduated,,,,"Sphinx-needs is a requirements management tool that allows you to manage requirements, specifications, and documentation within Sphinx.",,,,,,,,,,,,Software Requirements Analysis,Requirements Traceability,,,,,,,,,,,,,,,,,,,,,,,,
